gewala_id,gewala_name,time_name,maizuo_name,maizuo_id
323882229,谁知道,谁知道,谁知道,3742
323882216,神农溪之恋漂洋过海来爱你,神农溪之恋漂洋过海来爱你,漂洋过海来爱你,3733
323882211,异兽来袭,异兽来袭,异兽来袭,3740
323882205,失恋399年,失恋399年,失恋399年,3709
323882195,诡异酒楼,诡异酒楼,诡异酒楼,3699
323882194,李雷和韩梅梅：昨日重现,李雷和韩梅梅,李雷和韩梅梅,李雷和韩梅梅——昨日重现,3694
323882185,麻辣学院,麻辣学院,麻辣学院,3707
323882109,我的爸爸是国王,我的爸爸是国王,我的爸爸是国王,3681
323882103,忠爱无言,忠爱无言,忠爱无言,3721
323882097,三只小猪2,三只小猪2,三只小猪2,3666
323882007,哆啦A梦：大雄的南极冰冰凉大冒险,哆啦A梦：大雄的南极冰冰凉大冒险,哆啦A梦：大雄的南极冰冰凉大冒险,3705
323881972,此情此刻,此情此刻,此情此刻,3725
323881617,荡寇风云,荡寇风云,荡寇风云,3654
323881537,迷失Z城,迷失Z城,迷失Z城,3712
323881509,神奇女侠,神奇女侠,神奇女侠,3703
323881505,加勒比海盗5：死无对证,加勒比海盗5：死无对证,加勒比海盗5：死无对证,3664
323881451,新木乃伊,新木乃伊,新木乃伊,3706
323881384,重返·狼群,重返·狼群,重返·狼群,3708
323881364,猪猪侠之英雄猪少年,猪猪侠之英雄猪少年,猪猪侠之英雄猪少年,3515
323881363,异形：契约,异形：契约,异形：契约,3667
323881238,异星觉醒,异星觉醒,异星觉醒,3675
323881164,摔跤吧！爸爸,摔跤吧！爸爸,摔跤吧！爸爸,3663
323881148,“吃吃”的爱,“吃吃”的爱,“吃吃”的爱,3665
312253818,碟仙之毕业照,碟仙之毕业照,碟仙之毕业照,3298
308227914,蓝精灵3：寻找神秘村,蓝精灵3：寻找神秘村,蓝精灵：寻找神秘村,3623
301337700,精灵王座,精灵王座,精灵王座,-1
301223659,借眼,借眼,借眼,3658
299729920,美好的意外,美好的意外,美好的意外,3037
296403050,内心引力,内心引力,内心引力,3732
294533151,我心雀跃,我心雀跃,我心雀跃,3704
263918731,梦幻佳期,梦幻佳期,梦幻佳期,2720
250433720,潜艇总动员5：时光宝盒,潜艇总动员：时光宝盒,潜艇总动员5：时光宝盒,2483
248584531,速度与激情8,速度与激情8,速度与激情8,3456
323882232,黄粱一梦,黄粱一梦,黄粱一梦,3741
276235962,我们停战吧
279814717,逆时营救
295202248,守护者：世纪战元
295822030,记忆大师
323882047,中国推销员
319328697,走出尘埃
307130193,六人晚餐
323882204,功夫小兔侠
320704939,拆弹·专家
